date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:25:28	104742/104742	---MCZ	200	added ('OK')	text/html	etag:W/%22e36d9598e8b79be49ebca266ba298f3a%22	https://beta.nextjs.org/docs/data-fetching/generating-static-params	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/data-fetching/generating-static-params.html	(from https://beta.nextjs.org/docs)
23:25:28	98065/98065	---MCZ	200	added ('OK')	text/html	etag:W/%223120e5aae496fc879368bd7beaaca804%22	https://beta.nextjs.org/docs/data-fetching/api-routes	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/data-fetching/api-routes.html	(from https://beta.nextjs.org/docs)
23:25:29	110604/110604	---MCZ	200	added ('OK')	text/html	etag:W/%225d81cd68055330df4173da650ef09a7f%22	https://beta.nextjs.org/docs/styling/css-modules	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/styling/css-modules.html	(from https://beta.nextjs.org/docs)
23:25:29	127204/127204	---MCZ	200	added ('OK')	text/html	etag:W/%2275cda76c52ce2271cc496a4925ed257b%22	https://beta.nextjs.org/docs/styling/tailwind-css	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/styling/tailwind-css.html	(from https://beta.nextjs.org/docs)
23:25:29	107171/107171	---MCZ	200	added ('OK')	text/html	etag:W/%22531eaa5d2f562221128ea5bf965743de%22	https://beta.nextjs.org/docs/styling/global-styles	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/styling/global-styles.html	(from https://beta.nextjs.org/docs)
23:25:29	158322/158322	---MCZ	200	added ('OK')	text/html	etag:W/%2226c43ecb2b07eb965c5297754247836b%22	https://beta.nextjs.org/docs/styling/css-in-js	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/styling/css-in-js.html	(from https://beta.nextjs.org/docs)
23:25:30	104156/104156	---MCZ	200	added ('OK')	text/html	etag:W/%22b7959f377276558d3e284c071f397fa3%22	https://beta.nextjs.org/docs/styling/external-stylesheets	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/styling/external-stylesheets.html	(from https://beta.nextjs.org/docs)
23:25:30	114657/114657	---MCZ	200	added ('OK')	text/html	etag:W/%2214c1bb3a45df0bd1be692f6ea87995bb%22	https://beta.nextjs.org/docs/styling/sass	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/styling/sass.html	(from https://beta.nextjs.org/docs)
23:25:30	148228/148228	---MCZ	200	added ('OK')	text/html	etag:W/%229e4097e6ff68ca7437259effc447637e%22	https://beta.nextjs.org/docs/optimizing/images	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/optimizing/images.html	(from https://beta.nextjs.org/docs)
23:25:31	234218/234218	---MCZ	200	added ('OK')	text/html	etag:W/%22f502b2b400f2253bc2f70ed3ba543e5f%22	https://beta.nextjs.org/docs/optimizing/fonts	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/optimizing/fonts.html	(from https://beta.nextjs.org/docs)
23:25:31	183167/183167	---MCZ	200	added ('OK')	text/html	etag:W/%228ef55dd1ee2143e202a889aa07ad785a%22	https://beta.nextjs.org/docs/optimizing/scripts	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/optimizing/scripts.html	(from https://beta.nextjs.org/docs)
23:25:31	170061/170061	---MCZ	200	added ('OK')	text/html	etag:W/%22e291cb07bfdc7d0340ab281240351b2c%22	https://beta.nextjs.org/docs/optimizing/lazy-loading	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/optimizing/lazy-loading.html	(from https://beta.nextjs.org/docs)
23:25:31	150393/150393	---MCZ	200	added ('OK')	text/html	etag:W/%22c99536a4365e2f4da5ab57e53a9e1c50%22	https://beta.nextjs.org/docs/api-reference/next.config.js	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/api-reference/next.config.html	(from https://beta.nextjs.org/docs)
23:25:32	154175/154175	---MCZ	200	added ('OK')	text/html	etag:W/%229deada0a2c5859228d00f86b5dc1d994%22	https://beta.nextjs.org/docs/configuring/typescript	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/configuring/typescript.html	(from https://beta.nextjs.org/docs)
23:25:32	103223/103223	---MCZ	200	added ('OK')	text/html	etag:W/%22c96015d3ce7543c60759d99f1f49fbac%22	https://beta.nextjs.org/docs/configuring/turbopack	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/configuring/turbopack.html	(from https://beta.nextjs.org/docs)
23:25:33	138438/138438	---MCZ	200	added ('OK')	text/html	etag:W/%22688fb3bc542fb69ed479e2253ac5f674%22	https://beta.nextjs.org/docs/api-reference/components/link	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/api-reference/components/link.html	(from https://beta.nextjs.org/docs)
23:25:33	304641/304641	---MCZ	200	added ('OK')	text/html	etag:W/%222d40d197f7f012a949e944a90ef47b49%22	https://beta.nextjs.org/docs/api-reference/components/image	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/api-reference/components/image.html	(from https://beta.nextjs.org/docs)
